#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q61545	uniprotkb:P20263	intact:EBI-1606991|uniprotkb:Q9D2P0	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607057	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607153	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607181	intact-miscore:0.44
uniprotkb:Q61545	uniprotkb:P20263	intact:EBI-1606991|uniprotkb:Q9D2P0	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607195	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607200	intact-miscore:0.44
uniprotkb:Q61545	uniprotkb:P20263	intact:EBI-1606991|uniprotkb:Q9D2P0	intact:EBI-1606219|uniprotkb:Q63843	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607318	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607363	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0416""(fluorescence microscopy)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0403""(colocalization)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607397	intact-miscore:0.44
uniprotkb:P20263	uniprotkb:Q61545	intact:EBI-1606219|uniprotkb:Q63843	intact:EBI-1606991|uniprotkb:Q9D2P0	psi-mi:po5f1_mouse(display_long)|uniprotkb:Pou5f1(gene name)|psi-mi:Pou5f1(display_short)|uniprotkb:Oct-3(gene name synonym)|uniprotkb:Oct-4(gene name synonym)|uniprotkb:Otf-3(gene name synonym)|uniprotkb:Otf3(gene name synonym)|uniprotkb:Octamer-binding transcription factor 3(gene name synonym)|uniprotkb:NF-A3(gene name synonym)|uniprotkb:Octamer-binding protein 3(gene name synonym)|uniprotkb:Octamer-binding protein 4(gene name synonym)	psi-mi:ews_mouse(display_long)|uniprotkb:Ewsr1(gene name)|psi-mi:Ewsr1(display_short)|uniprotkb:Ews(gene name synonym)|uniprotkb:Ewsh(gene name synonym)	"psi-mi:""MI:0416""(fluorescence microscopy)"	Lee et al. (2005)	pubmed:15917470	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0403""(colocalization)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1607414	intact-miscore:0.44
uniprotkb:P68431	uniprotkb:Q03164	intact:EBI-79722|intact:EBI-1560041|uniprotkb:A0PJT7|uniprotkb:P02295|uniprotkb:P02296|uniprotkb:P16106|uniprotkb:Q6ISV8|uniprotkb:Q6NWP8|uniprotkb:Q6NWP9|uniprotkb:Q6NXU4|uniprotkb:Q71DJ3|uniprotkb:Q93081|uniprotkb:A5PLR1	intact:EBI-591370|uniprotkb:Q13743|uniprotkb:Q13744|uniprotkb:Q14845|uniprotkb:Q16364|uniprotkb:Q6UBD1|uniprotkb:Q9UMA3|intact:EBI-2614650|uniprotkb:Q59FF2|uniprotkb:Q9UD94|uniprotkb:E9PQG7|uniprotkb:Q9HBJ3	psi-mi:h31_human(display_long)|uniprotkb:HIST1H3D(gene name)|psi-mi:HIST1H3D(display_short)|uniprotkb:H3FB(gene name synonym)|uniprotkb:Histone H3/a(gene name synonym)|uniprotkb:Histone H3/b(gene name synonym)|uniprotkb:Histone H3/c(gene name synonym)|uniprotkb:Histone H3/d(gene name synonym)|uniprotkb:Histone H3/f(gene name synonym)|uniprotkb:Histone H3/h(gene name synonym)|uniprotkb:Histone H3/i(gene name synonym)|uniprotkb:Histone H3/j(gene name synonym)|uniprotkb:Histone H3/k(gene name synonym)|uniprotkb:Histone H3/l(gene name synonym)|uniprotkb:HIST1H3A(gene name)|psi-mi:HIST1H3A(display_short)|uniprotkb:H3FA(gene name synonym)|uniprotkb:HIST1H3B(gene name)|psi-mi:HIST1H3B(display_short)|uniprotkb:H3FL(gene name synonym)|uniprotkb:HIST1H3C(gene name)|psi-mi:HIST1H3C(display_short)|uniprotkb:H3FC(gene name synonym)|uniprotkb:HIST1H3E(gene name)|psi-mi:HIST1H3E(display_short)|uniprotkb:H3FD(gene name synonym)|uniprotkb:HIST1H3F(gene name)|psi-mi:HIST1H3F(display_short)|uniprotkb:H3FI(gene name synonym)|uniprotkb:HIST1H3G(gene name)|psi-mi:HIST1H3G(display_short)|uniprotkb:H3FH(gene name synonym)|uniprotkb:HIST1H3H(gene name)|psi-mi:HIST1H3H(display_short)|uniprotkb:H3FK(gene name synonym)|uniprotkb:HIST1H3I(gene name)|psi-mi:HIST1H3I(display_short)|uniprotkb:H3FF(gene name synonym)|uniprotkb:HIST1H3J(gene name)|psi-mi:HIST1H3J(display_short)|uniprotkb:H3FJ(gene name synonym)	psi-mi:kmt2a_human(display_long)|uniprotkb:ALL1(gene name synonym)|uniprotkb:CXXC-type zinc finger protein 7(gene name synonym)|uniprotkb:CXXC7(gene name synonym)|uniprotkb:HRX(gene name synonym)|uniprotkb:HTRX(gene name synonym)|uniprotkb:MLL(gene name synonym)|uniprotkb:MLL1(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia protein 1(gene name synonym)|uniprotkb:TRX1(gene name synonym)|uniprotkb:Trithorax-like protein(gene name synonym)|uniprotkb:Zinc finger protein HRX(gene name synonym)|uniprotkb:KMT2A(gene name)|psi-mi:KMT2A(display_short)|uniprotkb:ALL-1(gene name synonym)	"psi-mi:""MI:0114""(x-ray crystallography)"	Wang et al. (2010)	imex:IM-14957|pubmed:20541251	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2891333|imex:IM-14957-1|wwpdb:3lqi|wwpdb:3lqj	intact-miscore:0.46
uniprotkb:Q03164	uniprotkb:P68431	intact:EBI-591370|uniprotkb:Q13743|uniprotkb:Q13744|uniprotkb:Q14845|uniprotkb:Q16364|uniprotkb:Q6UBD1|uniprotkb:Q9UMA3|intact:EBI-2614650|uniprotkb:Q59FF2|uniprotkb:Q9UD94|uniprotkb:E9PQG7|uniprotkb:Q9HBJ3	intact:EBI-79722|intact:EBI-1560041|uniprotkb:A0PJT7|uniprotkb:P02295|uniprotkb:P02296|uniprotkb:P16106|uniprotkb:Q6ISV8|uniprotkb:Q6NWP8|uniprotkb:Q6NWP9|uniprotkb:Q6NXU4|uniprotkb:Q71DJ3|uniprotkb:Q93081|uniprotkb:A5PLR1	psi-mi:kmt2a_human(display_long)|uniprotkb:ALL1(gene name synonym)|uniprotkb:CXXC-type zinc finger protein 7(gene name synonym)|uniprotkb:CXXC7(gene name synonym)|uniprotkb:HRX(gene name synonym)|uniprotkb:HTRX(gene name synonym)|uniprotkb:MLL(gene name synonym)|uniprotkb:MLL1(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia protein 1(gene name synonym)|uniprotkb:TRX1(gene name synonym)|uniprotkb:Trithorax-like protein(gene name synonym)|uniprotkb:Zinc finger protein HRX(gene name synonym)|uniprotkb:KMT2A(gene name)|psi-mi:KMT2A(display_short)|uniprotkb:ALL-1(gene name synonym)	psi-mi:h31_human(display_long)|uniprotkb:HIST1H3D(gene name)|psi-mi:HIST1H3D(display_short)|uniprotkb:H3FB(gene name synonym)|uniprotkb:Histone H3/a(gene name synonym)|uniprotkb:Histone H3/b(gene name synonym)|uniprotkb:Histone H3/c(gene name synonym)|uniprotkb:Histone H3/d(gene name synonym)|uniprotkb:Histone H3/f(gene name synonym)|uniprotkb:Histone H3/h(gene name synonym)|uniprotkb:Histone H3/i(gene name synonym)|uniprotkb:Histone H3/j(gene name synonym)|uniprotkb:Histone H3/k(gene name synonym)|uniprotkb:Histone H3/l(gene name synonym)|uniprotkb:HIST1H3A(gene name)|psi-mi:HIST1H3A(display_short)|uniprotkb:H3FA(gene name synonym)|uniprotkb:HIST1H3B(gene name)|psi-mi:HIST1H3B(display_short)|uniprotkb:H3FL(gene name synonym)|uniprotkb:HIST1H3C(gene name)|psi-mi:HIST1H3C(display_short)|uniprotkb:H3FC(gene name synonym)|uniprotkb:HIST1H3E(gene name)|psi-mi:HIST1H3E(display_short)|uniprotkb:H3FD(gene name synonym)|uniprotkb:HIST1H3F(gene name)|psi-mi:HIST1H3F(display_short)|uniprotkb:H3FI(gene name synonym)|uniprotkb:HIST1H3G(gene name)|psi-mi:HIST1H3G(display_short)|uniprotkb:H3FH(gene name synonym)|uniprotkb:HIST1H3H(gene name)|psi-mi:HIST1H3H(display_short)|uniprotkb:H3FK(gene name synonym)|uniprotkb:HIST1H3I(gene name)|psi-mi:HIST1H3I(display_short)|uniprotkb:H3FF(gene name synonym)|uniprotkb:HIST1H3J(gene name)|psi-mi:HIST1H3J(display_short)|uniprotkb:H3FJ(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Wang et al. (2010)	imex:IM-14957|pubmed:20541251	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2891363|imex:IM-14957-3	intact-miscore:0.46
uniprotkb:Q03164	uniprotkb:P68431	intact:EBI-591370|uniprotkb:Q13743|uniprotkb:Q13744|uniprotkb:Q14845|uniprotkb:Q16364|uniprotkb:Q6UBD1|uniprotkb:Q9UMA3|intact:EBI-2614650|uniprotkb:Q59FF2|uniprotkb:Q9UD94|uniprotkb:E9PQG7|uniprotkb:Q9HBJ3	intact:EBI-79722|intact:EBI-1560041|uniprotkb:A0PJT7|uniprotkb:P02295|uniprotkb:P02296|uniprotkb:P16106|uniprotkb:Q6ISV8|uniprotkb:Q6NWP8|uniprotkb:Q6NWP9|uniprotkb:Q6NXU4|uniprotkb:Q71DJ3|uniprotkb:Q93081|uniprotkb:A5PLR1	psi-mi:kmt2a_human(display_long)|uniprotkb:ALL1(gene name synonym)|uniprotkb:CXXC-type zinc finger protein 7(gene name synonym)|uniprotkb:CXXC7(gene name synonym)|uniprotkb:HRX(gene name synonym)|uniprotkb:HTRX(gene name synonym)|uniprotkb:MLL(gene name synonym)|uniprotkb:MLL1(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia protein 1(gene name synonym)|uniprotkb:TRX1(gene name synonym)|uniprotkb:Trithorax-like protein(gene name synonym)|uniprotkb:Zinc finger protein HRX(gene name synonym)|uniprotkb:KMT2A(gene name)|psi-mi:KMT2A(display_short)|uniprotkb:ALL-1(gene name synonym)	psi-mi:h31_human(display_long)|uniprotkb:HIST1H3D(gene name)|psi-mi:HIST1H3D(display_short)|uniprotkb:H3FB(gene name synonym)|uniprotkb:Histone H3/a(gene name synonym)|uniprotkb:Histone H3/b(gene name synonym)|uniprotkb:Histone H3/c(gene name synonym)|uniprotkb:Histone H3/d(gene name synonym)|uniprotkb:Histone H3/f(gene name synonym)|uniprotkb:Histone H3/h(gene name synonym)|uniprotkb:Histone H3/i(gene name synonym)|uniprotkb:Histone H3/j(gene name synonym)|uniprotkb:Histone H3/k(gene name synonym)|uniprotkb:Histone H3/l(gene name synonym)|uniprotkb:HIST1H3A(gene name)|psi-mi:HIST1H3A(display_short)|uniprotkb:H3FA(gene name synonym)|uniprotkb:HIST1H3B(gene name)|psi-mi:HIST1H3B(display_short)|uniprotkb:H3FL(gene name synonym)|uniprotkb:HIST1H3C(gene name)|psi-mi:HIST1H3C(display_short)|uniprotkb:H3FC(gene name synonym)|uniprotkb:HIST1H3E(gene name)|psi-mi:HIST1H3E(display_short)|uniprotkb:H3FD(gene name synonym)|uniprotkb:HIST1H3F(gene name)|psi-mi:HIST1H3F(display_short)|uniprotkb:H3FI(gene name synonym)|uniprotkb:HIST1H3G(gene name)|psi-mi:HIST1H3G(display_short)|uniprotkb:H3FH(gene name synonym)|uniprotkb:HIST1H3H(gene name)|psi-mi:HIST1H3H(display_short)|uniprotkb:H3FK(gene name synonym)|uniprotkb:HIST1H3I(gene name)|psi-mi:HIST1H3I(display_short)|uniprotkb:H3FF(gene name synonym)|uniprotkb:HIST1H3J(gene name)|psi-mi:HIST1H3J(display_short)|uniprotkb:H3FJ(gene name synonym)	"psi-mi:""MI:0096""(pull down)"	Wang et al. (2010)	imex:IM-14957|pubmed:20541251	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2891426|imex:IM-14957-4	intact-miscore:0.46
uniprotkb:Q03164	uniprotkb:P68431	intact:EBI-591370|uniprotkb:Q13743|uniprotkb:Q13744|uniprotkb:Q14845|uniprotkb:Q16364|uniprotkb:Q6UBD1|uniprotkb:Q9UMA3|intact:EBI-2614650|uniprotkb:Q59FF2|uniprotkb:Q9UD94|uniprotkb:E9PQG7|uniprotkb:Q9HBJ3	intact:EBI-79722|intact:EBI-1560041|uniprotkb:A0PJT7|uniprotkb:P02295|uniprotkb:P02296|uniprotkb:P16106|uniprotkb:Q6ISV8|uniprotkb:Q6NWP8|uniprotkb:Q6NWP9|uniprotkb:Q6NXU4|uniprotkb:Q71DJ3|uniprotkb:Q93081|uniprotkb:A5PLR1	psi-mi:kmt2a_human(display_long)|uniprotkb:ALL1(gene name synonym)|uniprotkb:CXXC-type zinc finger protein 7(gene name synonym)|uniprotkb:CXXC7(gene name synonym)|uniprotkb:HRX(gene name synonym)|uniprotkb:HTRX(gene name synonym)|uniprotkb:MLL(gene name synonym)|uniprotkb:MLL1(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia(gene name synonym)|uniprotkb:Myeloid/lymphoid or mixed-lineage leukemia protein 1(gene name synonym)|uniprotkb:TRX1(gene name synonym)|uniprotkb:Trithorax-like protein(gene name synonym)|uniprotkb:Zinc finger protein HRX(gene name synonym)|uniprotkb:KMT2A(gene name)|psi-mi:KMT2A(display_short)|uniprotkb:ALL-1(gene name synonym)	psi-mi:h31_human(display_long)|uniprotkb:HIST1H3D(gene name)|psi-mi:HIST1H3D(display_short)|uniprotkb:H3FB(gene name synonym)|uniprotkb:Histone H3/a(gene name synonym)|uniprotkb:Histone H3/b(gene name synonym)|uniprotkb:Histone H3/c(gene name synonym)|uniprotkb:Histone H3/d(gene name synonym)|uniprotkb:Histone H3/f(gene name synonym)|uniprotkb:Histone H3/h(gene name synonym)|uniprotkb:Histone H3/i(gene name synonym)|uniprotkb:Histone H3/j(gene name synonym)|uniprotkb:Histone H3/k(gene name synonym)|uniprotkb:Histone H3/l(gene name synonym)|uniprotkb:HIST1H3A(gene name)|psi-mi:HIST1H3A(display_short)|uniprotkb:H3FA(gene name synonym)|uniprotkb:HIST1H3B(gene name)|psi-mi:HIST1H3B(display_short)|uniprotkb:H3FL(gene name synonym)|uniprotkb:HIST1H3C(gene name)|psi-mi:HIST1H3C(display_short)|uniprotkb:H3FC(gene name synonym)|uniprotkb:HIST1H3E(gene name)|psi-mi:HIST1H3E(display_short)|uniprotkb:H3FD(gene name synonym)|uniprotkb:HIST1H3F(gene name)|psi-mi:HIST1H3F(display_short)|uniprotkb:H3FI(gene name synonym)|uniprotkb:HIST1H3G(gene name)|psi-mi:HIST1H3G(display_short)|uniprotkb:H3FH(gene name synonym)|uniprotkb:HIST1H3H(gene name)|psi-mi:HIST1H3H(display_short)|uniprotkb:H3FK(gene name synonym)|uniprotkb:HIST1H3I(gene name)|psi-mi:HIST1H3I(display_short)|uniprotkb:H3FF(gene name synonym)|uniprotkb:HIST1H3J(gene name)|psi-mi:HIST1H3J(display_short)|uniprotkb:H3FJ(gene name synonym)	"psi-mi:""MI:0065""(isothermal titration calorimetry)"	Wang et al. (2010)	imex:IM-14957|pubmed:20541251	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2891387|imex:IM-14957-8	intact-miscore:0.46
